"ID","POP_Densit","Area_Tot_Cor","YearBuilt","Hage","TotalValua","NumberOfSt","TotalGross","yd","MEDIANAGE","medINC","perVAC","perMIN","perMAR","SaleYear","dur","Hard","Con","cabio","perH","perC","Cseqha","perHbio","Sand","Silt","Clay","pH","stoC_at10","stoN_at10","stoC_at20","stoN_at20","stoC_at30","stoN_at30","stoC_at40","stoN_at40","stoC_at50","stoN_at50","stoC_to10","stoC_to20","stoC_to30","stoC_to40","stoC_to50","stoN_to10","stoN_to20","stoN_to30","stoN_to40","stoN_to50"
8,3523,0.06,1952,62,172900,1,2304,0.0385951488,34,58148,1,0,0.615384615,2004,10,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,4455,0.15,1891,123,343500,2,5800,0.12305813,40,57222,1,0.085106383,0.277777778,2012,2,4,3,3329.03085642751,0.571428571428571,0.428571428571429,27052.5064571314,15458.5751183608,14.5116666666667,15.9433333333333,69.545,5.18,33928.7163365351,2133.26092995326,33454.2359383083,1804.24064000026,24751.0176245946,1351.18833095001,25055.0105487573,1450.49404086948,23767.9704807353,1290.81454747177,33928.7163365351,67382.9522748433,92133.969899438,117188.980448195,140956.950928931,2133.26092995326,3937.50156995352,5288.68990090353,6739.18394177301,8029.99848924478
16,1787,0.13,1963,51,248900,1.75,3083,0.113633145771429,39,115368,0.961722488,0.042682927,0.512437811,2002,12,2,0,3101.7100095615,1,0,27295.8210256763,27295.8210256763,15.145,5.945,78.9116666666667,5.93,26250.5435511334,1589.67825078625,26414.1927720507,1866.49131639341,11957.1860535063,792.90869523645,8614.82018536904,536.489960157737,NA,NA,26250.5435511334,52664.7363231841,64621.9223766904,80765.2802759332,NA,1589.67825078625,3456.16956717965,4249.0782624161,5400.18402687994,NA
5,2331,0.09,1960,54,169100,1,221.480752,0.0879423773696944,47,70400,0.941176471,0,0.375,2008,6,2,0,1996.303494257,1,0,22700.1310854366,22700.1310854366,76.8666666666667,17.2216666666667,5.91,4.73,41143.972670718,2335.95334290036,38946.2001920471,1435.21585481749,29343.4115670544,895.358547553496,NA,NA,NA,NA,41143.972670718,80090.1728627651,109433.58442982,NA,NA,2335.95334290036,3771.16919771785,4666.52774527134,NA,NA
11,5971,0.14,1920,94,226500,1.5,423.730583,0.137375610509837,29,58148,0.934065934,0.281179138,0.180392157,2005,9,2,0,38.4880741600474,1,0,280.166719676136,280.166719676136,74.2433333333333,15.555,10.1983333333333,4.685,29728.7992296948,2195.46980950289,26294.5851269874,1846.78635319752,12613.4376394218,796.947880012017,11160.2871087019,673.481695098793,8043.50892318028,507.61833095167,29728.7992296948,56023.3843566822,68636.821996104,84006.9479626934,97575.4473197268,2195.46980950289,4042.25616270041,4839.20404271243,5537.7151289572,6639.56677835169
33,745,0.11,1930,84,181000,1.5,3047,0.0911283039333333,42,75513,0.961538462,0,0.72,1998,16,2,0,1443.5527899476,1,0,15840.8828831452,15840.8828831452,18.4566666666667,4.83333333333333,76.7116666666667,4.925,46248.4770996793,2456.48573739152,36739.6071699748,1666.07330364181,29210.3125034159,1220.35338592311,16698.0672843274,847.666432800947,12796.6626461107,749.709243451449,46248.4770996793,82988.0842696541,112198.39677307,128896.464057397,121047.206857724,2456.48573739152,4122.55904103333,5342.91242695644,6190.57885975739,6126.35158687535
3,3198,0.08,1951,63,182900,1,2533,0.0564676701,42,70400,1,0.107526882,0.4,2008,6,3,0,9093.78455051647,1,0,161044.090085744,161044.090085744,16.455,5.835,77.71,5.785,21433.1937257394,1691.57799247669,21804.3447076677,1816.45033599961,11669.9084652053,799.532278201577,NA,NA,NA,NA,21433.1937257394,43237.5384334071,54907.4468986124,NA,NA,1691.57799247669,3508.02832847629,4307.56060667787,NA,NA
29,3716,0.06,1964,50,181900,1,230.39944,0.057859520082568,39,60139,0.785714286,0.103448276,0.909090909,1998,16,4,0,248.871436349034,1,0,4301.30488455286,4301.30488455286,84.0883333333333,10,5.91,4.535,34110.8943506969,2280.0657785116,13886.3587133849,1039.51485738805,9355.5614625422,673.079953749901,8420.26337388841,692.422993244965,16135.5575382943,1004.62202166266,34110.8943506969,47997.2530640817,56073.5244273143,74833.010726187,90968.5682644812,2280.0657785116,3319.58063589964,4064.85741125318,5413.81735758553,6418.43937924819
30,58,0.06,1963,51,166900,1,2544,0.0363654768,45,55781,0.875,0.046153846,0.571428571,2011,3,2,0,568.016342759335,1,0,15619.6588837063,15619.6588837063,14.665,5.55666666666667,79.7766666666667,4.495,25664.6169630526,1625.80260321033,31244.8880875234,2205.75332809074,58586.7746486158,2781.91448491618,44398.5546218118,2193.96479495809,22648.5820107106,1119.36340082723,25664.6169630526,56909.5050505759,115496.279699192,159894.834321003,182543.416331714,1625.80260321033,3831.55593130107,6613.47041621725,8807.43521117535,9926.79861200257
7,992,0.17,1980,34,293700,2,4103,0.15094094955,54,58148,1,0,0.666666667,2009,5,7,0,3678.82119017154,1,0,24372.5854457601,24372.5854457601,20.4883333333333,0.055,79.455,4.78,43864.9281823381,2607.88129185002,28523.5115509335,1599.67094800167,15076.984882948,897.001102757337,14148.7445935374,894.880343966861,8755.48413495172,570.404696616786,43864.9281823381,72388.4397332716,87465.4246162196,101614.169209757,115569.236111722,2607.88129185002,4207.55223985169,5104.55334260902,5999.43368657589,6890.90045478007
34,3126,0.06,1986,28,189700,1,2128,0.0402302416,37,74293,0.975609756,0.092436975,0.825,1998,16,4,2,1400.53930551332,0.666666666666667,0.333333333333333,34813.0970586397,23208.7313724265,13.455,8.945,77.6,4.575,24306.494473736,1842.41111077373,18683.4684094884,1228.78259145081,5368.81950869767,304.475860990623,4387.93957260959,225.081332245543,3906.95161911818,171.72244610344,24306.494473736,42504.4640231408,64157.4709135993,68338.4495180877,NA,1842.41111077373,3042.44250848628,4534.85827382488,4736.40530864754,NA
32,1289,0.09,1991,23,191800,1,2420,0.067517474,36,61154,0.994652406,0.038251366,0.698924731,2012,2,2,1,723.943002999209,0.666666666666667,0.333333333333333,10722.3057989286,7148.20386595238,15.6216666666667,6.5,77.8783333333333,5.865,24378.026970601,1837.72651408062,19555.9361966865,1410.87393344487,7648.54345121563,531.917770279671,2970.78145842957,225.774377839561,17991.2361369413,1259.75738609214,24378.026970601,43933.9631672875,51582.5066185032,54553.2880769327,72834.6713330676,1837.72651408062,3248.60044752549,3780.51821780517,4006.29259564473,5260.62838705556
12,1613,0.1,1999,15,236500,2,3292,0.0847081662,47,65114,0.85,0,0.529411765,2011,3,5,12,1091.37302216347,0.294117647058824,0.705882352941177,12883.9174677289,3789.38749050851,21.165,2.165,76.6666666666667,4.475,22030.3682229029,1379.65122000873,13616.9285506978,971.003534070562,14634.3402730853,806.141104434507,9060.42831365339,652.363808549053,4625.00969272867,454.39589793582,22030.3682229029,35647.2967736007,52532.2589437607,60642.078933246,65267.0886259747,1379.65122000873,2350.65475407929,3319.64589934495,4002.40602454325,4456.80192247907
36,3269,0.08,1985,29,209300,1,2216,0.0594126952,45,30588,1,0.305555556,0.636363636,2003,11,3,36,1823.37726542804,0.0769230769230769,0.923076923076923,30690.0277674667,2360.77136672821,18.2566666666667,3.11,78.6333333333333,6.985,36834.4665181462,2529.37374746159,27336.6237151507,1580.20145792607,10546.9632595964,573.427504077993,2197.13218718631,163.966234904901,1754.80781082877,114.6973589286,36834.4665181462,64171.0902332969,74718.0534928933,70981.7788691272,72736.586679956,2529.37374746159,4109.57520538766,4683.00270946565,4505.33096958206,4620.02832851066
6,1212,0.11,1955,59,185900,1.5,280.195448,0.108264600152964,60,86538,1,0,0.2,2000,14,10,3,2781.27448532302,0.769230769230769,0.230769230769231,25689.6019695583,19761.2322842756,86.6,8.88833333333333,4.51,4.345,29354.4391652064,2224.69098593218,13612.2056608731,938.320426439803,NA,NA,NA,NA,NA,NA,29354.4391652064,42966.6448260796,NA,NA,NA,2224.69098593218,3163.01141237198,NA,NA,NA
2,1123,0.15,1956,58,184300,1,240.804576,0.147762853247587,50,86538,0.981818182,0.031007752,0.555555556,2012,2,8,2,6202.16212316462,0.8,0.2,41973.7571849161,33579.0057479329,77.868,14.666,7.464,4.67,33896.0204943593,2416.24530808329,34824.5572788944,2232.53512128245,23287.2471967512,1482.92612407163,8623.66326447844,487.288206494593,12565.9057410014,805.92233115438,33896.0204943593,68720.5777732537,92007.8249700049,106561.166464321,125467.739519273,2416.24530808329,4648.78042936574,6131.70655343737,6978.7971616209,8101.74746514597
14,393,0.21,1968,46,168100,1,160.536384,0.208508568831725,38,61250,0.947976879,0.02238806,0.542682927,1997,17,4,10,9972.05634366548,0.285714285714286,0.714285714285714,47825.6428478647,13664.4693851042,81.665,10.555,7.775,4.81,28183.6829494022,1840.13812043716,25780.4794175573,1274.51018590792,9780.85045095156,506.384181604135,20932.5977040717,1160.44167032057,13662.8565372686,646.084715722992,28183.6829494022,53964.1623669595,63745.012817911,88048.5825689108,101711.439106179,1840.13812043716,3114.64830634508,3621.03248794922,4951.14263238576,5597.22734810875
13,2067,0.32,1865,149,231900,1.75,383.782293,0.317962598493338,35,61313,0.9875,0.176744186,0.46835443,2004,10,12,0,1175.38364206587,1,0,3696.60975106949,3696.60975106949,80.755,14.445,4.8,4.12,40336.607377557,3344.87231730973,28231.2393394514,2045.8095205791,30315.0548174884,2077.51806131817,27676.2898987897,1833.76754567614,15612.0701744678,1247.90355540399,40336.607377557,68567.8467170085,98882.9015344969,126559.191433287,142171.261607754,3344.87231730973,5390.68183788883,7468.19989920699,9301.96744488314,10549.8710002871
9,1249,0.13,1920,94,232300,1.5,5074,0.0985740118666667,47,50116,0.727272727,0,0.375,1993,21,1,2,2170.14948568757,0.333333333333333,0.666666666666667,22015.4323091056,7338.47743636854,17.445,3.89,78.6666666666667,5.395,33459.8115807604,2527.52149715129,24408.2768889941,1910.98695539996,17897.7535670762,1143.21017811938,17184.3767833638,1096.35209526638,10027.7980886127,514.495365956349,33459.8115807604,57868.0884697545,75765.8420368307,95213.052850501,105240.850939114,2527.52149715129,4438.50845255126,5581.71863067063,6936.24689201473,7450.74225797108
19,1578,0.2,1939,75,187400,1.5,269.790312,0.198329044709618,44,62500,1,0.058823529,0.565217391,2005,9,5,0,218.331363392233,1,0,1100.85420777326,1100.85420777326,75.2016666666667,18.3316666666667,6.465,4.545,30333.1453576408,2698.9339199234,25744.368920456,2015.85798131362,20627.3322099058,1494.095436581,9533.40635465887,753.948424478804,11380.6734601681,813.07916569935,30333.1453576408,56077.5142780968,76704.8464880026,86238.2528426614,103291.609020785,2698.9339199234,4714.79190123702,6208.88733781802,6962.83576229682,7910.79644052804
10,898,0.19,1987,27,286300,2,3815,0.17227875275,47,50455,0.962962963,0.119402985,0.615384615,2010,4,4,0,1030.52208942734,1,0,5981.71320013423,5981.71320013423,17.3883333333333,5.00166666666667,77.6116666666667,4.98,23674.6649197596,1898.90173337702,26990.2514990402,2147.36690884203,20999.1902802047,1451.49419036943,23703.1104515893,1130.24833640017,11021.9691468271,680.626193385984,23674.6649197596,50664.9164187998,71664.1066990045,95367.2171505938,108911.762063298,1898.90173337702,4046.26864221905,5497.76283258848,6628.01116898865,7726.9333854022
20,2468,0.11,1910,104,190100,1.5,395.395168,0.107551106847153,39,71250,0.916666667,0.267857143,0.545454545,2014,0,1,2,1714.03623299566,0.333333333333333,0.666666666666667,15936.9464735642,5312.31549118806,75,15.0016666666667,9.99833333333333,4.31,40889.2623187854,2535.15352530041,39132.3561426786,2010.11224926951,37921.4219241672,1773.1440915427,50804.1610279581,2343.16772029886,18630.7339644019,1149.96958152524,40889.2623187854,80021.618461464,117943.040385631,168747.201413589,187377.935377991,2535.15352530041,4545.26577456992,6318.40986611262,8661.57758641148,9811.54716793672
28,2835,0.11,1954,60,200000,1,292.087032,0.10728642384661,49,74038,1,0.055555556,0.785714286,2006,8,13,5,3597.8260704199,0.722222222222222,0.277777777777778,33534.7748710851,24219.559629117,72.0216666666667,19.445,8.53333333333333,4.76,30517.422184941,2232.24222346498,19581.8754613697,1197.91230200051,26142.8563627772,1367.84035183997,NA,NA,NA,NA,30517.422184941,50099.2976463107,76242.154009088,NA,NA,2232.24222346498,3430.15452546549,4797.99487730545,NA,NA
35,985,0.1,1961,53,174100,1,2652,0.0753621244,34,74293,0.990825688,0.077777778,0.759259259,NA,NA,14,32,10167.6444634391,0.304347826086957,0.695652173913043,134917.168861539,41061.7470448162,15.1783333333333,6.39,78.4333333333333,5.65,28920.1304949141,2595.48825768099,19563.0447806377,1988.81723801453,6187.1211650498,510.620008330954,9411.59610101115,834.240150855554,NA,NA,28920.1304949141,48483.1752755518,54670.2964406016,69403.8720627254,NA,2595.48825768099,4584.30549569551,5094.92550402647,6980.80457467264,NA
31,3683,0.13,1936,78,203400,1.75,310.853438,0.128349759031399,42,55781,1,0,0.722222222,2002,12,1,0,1113.6230835255,1,0,8676.47194610678,8676.47194610678,66.31,26.6666666666667,7.02,4.39,26427.4237077398,1847.4852805192,17774.3260372426,1126.67100248676,23290.5308956523,1351.41969333625,37868.6125192945,1816.89384377304,33613.8150293341,1775.46734795318,26427.4237077398,44201.7497449823,67492.2806406346,118169.900253944,158829.222182976,1847.4852805192,2974.15628300596,4325.57597634221,6650.67184799281,8598.90044587529
26,174,0.8,2006,8,364300,1,4564,0.7575990708,79,59172,0.743944637,0.08,0.255813953,2006,8,5,3,150.367499389847,0.625,0.375,198.478991310092,124.049369568808,15.21,6.55666666666667,78.235,4.92,17122.2574122922,1225.34713495775,10023.0569227795,610.89968739091,NA,NA,NA,NA,NA,NA,17122.2574122922,27145.3143350717,NA,NA,NA,1225.34713495775,1836.24682234866,NA,NA,NA
